City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,saldanha,-33.0117,17.9442,13.03,84,77,4.6,ZA,1718929816
288,piton saint-leu,-21.2196,55.3151,18.55,73,75,6.17,RE,1718929817
289,west island,-12.1568,96.8225,26.99,83,100,2.57,CC,1718929819
290,bayanhongor,46.7167,100.1167,5.6,35,0,3.9,MN,1718929821
291,rawson,-43.3002,-65.1023,6.07,93,100,7.68,AR,1718929822
292,gulf shores,30.246,-87.7008,28.47,68,20,4.12,US,1718929823
293,tadine,-21.55,167.8833,24.08,52,2,5.53,NC,1718929824
294,kroya,-7.6331,109.2461,26.3,79,100,3.96,ID,1718929826
295,minas de marcona,-15.2119,-75.1103,13.82,79,100,4.41,PE,1718929827
296,taoudenni,22.6783,-3.9836,37.38,7,0,6.58,ML,1718929828
297,port saint john's,-31.6229,29.5448,16.53,80,100,5.23,ZA,1718929831
298,nizhneudinsk,54.9076,99.0276,13.83,51,5,0.55,RU,1718929832
299,kita,13.0349,-9.4895,28.05,59,56,1.62,ML,1718929833
300,ola,59.5833,151.2833,12.6,81,67,3.12,RU,1718929834
301,kabwe,-14.4469,28.4464,13.77,66,0,2.54,ZM,1718929836
302,maintirano,-18.0667,44.0167,20.43,83,0,3.48,MG,1718929837
303,sungailiat,-1.85,106.1333,26.02,88,100,3.59,ID,1718929838
304,poco branco,-5.6228,-35.6628,23.97,96,11,3.92,BR,1718929839
305,sinabang,2.4803,96.3801,26.75,85,100,2.41,ID,1718929841
306,grivenskaya,45.6473,38.176,16.78,69,0,3.56,RU,1718929842
307,santanyi,39.3546,3.1291,21.66,77,100,4.6,ES,1718929843
308,arkhangel'sk,64.5401,40.5433,11.06,100,100,4.0,RU,1718929844
309,kavaratti,10.5669,72.642,28.18,82,100,8.93,IN,1718929847
310,harstad,68.799,16.5293,9.55,95,100,6.71,NO,1718929848
311,acajutla,13.5928,-89.8275,25.22,88,100,5.22,SV,1718929849
312,laem sing,12.4816,102.0738,29.47,100,56,2.33,TH,1718929850
313,menongue,-14.6585,17.691,9.81,47,0,1.61,AO,1718929852
314,murzuq,25.9155,13.9184,30.84,16,0,7.48,LY,1718929839
315,beruniy,41.6911,60.7525,21.98,73,0,1.03,UZ,1718929666
316,chenab nagar,31.7541,72.92,29.67,54,99,1.55,PK,1718929855
317,lamu,-2.2717,40.902,24.76,84,6,6.55,KE,1718929856
318,pontal do parana,-25.6533,-48.5128,18.38,96,26,0.64,BR,1718929858
319,qujing,25.4833,103.7833,20.83,80,99,4.84,CN,1718929859
320,taman',45.2117,36.7161,21.05,61,0,10.1,RU,1718929799
321,daru,-9.0763,143.2092,26.17,77,88,5.68,PG,1718929861
322,coronel dorrego,-38.7187,-61.2873,7.68,42,100,6.7,AR,1718929863
323,tabira,-7.5908,-37.5394,20.29,90,49,4.92,BR,1718929864
324,entebbe,0.0644,32.4469,24.18,78,40,4.12,UG,1718929865
325,glace bay,46.1969,-59.957,23.66,77,75,4.12,CA,1718929868
326,cantaura,9.3057,-64.3584,25.86,77,52,5.19,VE,1718929869
327,tazacorte,28.629,-17.9293,18.42,76,0,4.12,ES,1718929870
328,aracati,-4.5617,-37.7697,25.63,81,51,5.72,BR,1718929871
329,kismayo,-0.3582,42.5454,25.44,80,54,7.18,SO,1718929873
330,qusmuryn,52.4503,64.6311,17.96,88,28,3.78,KZ,1718929874
331,cidreira,-30.1811,-50.2056,18.07,96,100,4.64,BR,1718929875
332,banda aceh,5.5577,95.3222,28.8,76,88,6.05,ID,1718929876
333,port alfred,-33.5906,26.891,13.99,88,100,0.45,ZA,1718929878
334,swakopmund,-22.6833,14.5333,13.32,86,0,3.2,NA,1718929879
335,cho dok,10.7,105.1167,27.76,80,100,1.14,VN,1718929880
336,akureyri,65.6835,-18.0878,6.96,87,100,3.6,IS,1718929881
337,fort-shevchenko,44.5086,50.263,24.98,55,14,2.07,KZ,1718929882
338,bela vista,-22.1089,-56.5211,23.32,40,12,2.38,BR,1718929884
339,cidade velha,14.9167,-23.6167,24.26,78,20,5.14,CV,1718929885
340,weyburn,49.6668,-103.8511,21.12,46,11,1.54,CA,1718929886
341,hanceville,34.0607,-86.7675,30.21,65,26,2.42,US,1718929887
342,hamilton,39.1834,-84.5333,30.21,61,40,2.57,US,1718929889
343,encheng,22.1839,112.3026,30.03,76,99,2.39,CN,1718929890
344,richards bay,-28.783,32.0377,16.72,86,2,2.25,ZA,1718929843
345,shingu,33.7333,135.9833,19.99,91,100,2.88,JP,1718929892
346,rio claro,-22.4114,-47.5614,16.07,36,0,1.13,BR,1718929893
347,alameda,37.5999,-121.8844,20.47,53,0,5.66,US,1718929895
348,tralee,52.2704,-9.7026,10.99,98,100,2.64,IE,1718929896
349,jayapura,-2.5333,140.7,27.66,65,55,1.58,ID,1718929897
350,ta`u,-14.2336,-169.5144,27.68,72,5,4.77,AS,1718929898
351,tondano,1.3038,124.9112,23.05,75,99,2.14,ID,1718929900
352,qacha's nek,-30.1154,28.6894,3.42,54,80,3.2,LS,1718929901
353,ghanzi,-21.5667,21.7833,14.32,38,0,4.61,BW,1718929902
354,diego de almagro,-26.3667,-70.05,12.18,60,0,0.82,CL,1718929903
355,poplar bluff,36.757,-90.3929,29.96,48,0,2.06,US,1718929904
356,ugoofaaru,5.6667,73.0,28.67,80,100,7.45,MV,1718929906
357,papao,-17.75,-149.55,27.82,69,1,5.64,PF,1718929907
358,kiffa,16.6166,-11.4045,36.34,21,100,5.34,MR,1718929908
359,saint-marcel,49.1,1.45,16.94,88,0,1.54,FR,1718929909
360,miranda do douro,41.4969,-6.2731,11.47,86,0,0.95,PT,1718929910
361,kristiansund,63.1115,7.732,10.83,84,100,3.6,NO,1718929912
362,rongelap,11.1635,166.8941,28.63,81,51,7.13,MH,1718929913
363,vardenik,40.1393,45.4334,14.27,72,19,1.52,AM,1718929914
